Date,Close,Open,High,Low,Volume,Change%
2023-12-25,"1,117.66","1,103.06","1,118.31","1,103.06",658.54K,1.32%
2023-12-22,"1,103.06","1,102.43","1,104.65","1,099.32",558.03K,0.06%
2023-12-21,"1,102.43","1,100.76","1,102.43","1,094.47",521.00K,0.15%
2023-12-20,"1,100.76","1,096.30","1,102.27","1,093.38",598.21K,0.41%
2023-12-19,"1,096.30","1,091.88","1,096.30","1,082.29",649.91K,0.40%
2023-12-18,"1,091.88","1,102.30","1,103.74","1,091.45",713.16K,-0.95%
2023-12-15,"1,102.30","1,110.13","1,112.79","1,102.30",749.83K,-0.71%
2023-12-14,"1,110.13","1,114.20","1,120.36","1,107.86",681.02K,-0.37%
2023-12-13,"1,114.20","1,127.63","1,131.21","1,112.08",844.04K,-1.19%
2023-12-12,"1,127.63","1,125.50","1,129.77","1,123.35",645.62K,0.19%
2023-12-11,"1,125.50","1,124.44","1,129.15","1,120.32",700.59K,0.09%
2023-12-08,"1,124.44","1,121.49","1,127.46","1,119.43",819.10K,0.26%
2023-12-07,"1,121.49","1,126.43","1,129.83","1,109.51",1.33M,-0.44%
2023-12-06,"1,126.43","1,115.97","1,126.43","1,115.97",853.96K,0.94%
2023-12-05,"1,115.97","1,120.49","1,124.11","1,113.55",824.66K,-0.40%
2023-12-04,"1,120.49","1,102.16","1,123.96","1,102.16",1.12M,1.66%
2023-12-01,"1,102.16","1,094.13","1,102.20","1,090.08",603.59K,0.73%
2023-11-30,"1,094.13","1,101.75","1,107.45","1,094.13",723.48K,-0.79%
2023-11-29,"1,102.80","1,095.43","1,105.28","1,095.43",614.96K,0.67%
2023-11-28,"1,095.43","1,088.06","1,095.43","1,076.45",681.89K,0.68%
2023-11-27,"1,088.06","1,095.61","1,096.84","1,085.69",595.02K,-0.69%
2023-11-24,"1,095.61","1,088.49","1,095.61","1,073.31",958.34K,0.65%
2023-11-23,"1,088.49","1,113.82","1,118.54","1,088.49",1.03M,-2.27%
2023-11-22,"1,113.82","1,110.46","1,115.47","1,103.26",946.28K,0.30%
2023-11-21,"1,110.46","1,103.66","1,112.77","1,103.66",712.61K,0.62%
2023-11-20,"1,103.66","1,101.19","1,111.26","1,085.32",841.47K,0.22%
2023-11-17,"1,101.19","1,125.53","1,129.84","1,096.16",1.26M,-2.16%
2023-11-16,"1,125.53","1,122.50","1,125.53","1,114.97",687.40K,0.27%
2023-11-15,"1,122.50","1,109.73","1,132.75","1,109.73",937.96K,1.15%
2023-11-14,"1,109.73","1,100.07","1,115.60","1,100.07",822.20K,0.88%
2023-11-13,"1,100.07","1,103.66","1,107.91","1,093.19",789.44K,-0.15%
2023-11-10,"1,101.68","1,113.89","1,116.02","1,101.23",1.03M,-1.10%
2023-11-09,"1,113.89","1,113.43","1,124.78","1,112.13",1.05M,0.04%
2023-11-08,"1,113.43","1,080.29","1,113.43","1,075.80",952.58K,3.07%
2023-11-07,"1,080.29","1,089.66","1,089.89","1,079.42",634.51K,-0.86%
2023-11-06,"1,089.66","1,076.78","1,089.66","1,076.78",692.79K,1.20%
2023-11-03,"1,076.78","1,075.47","1,082.23","1,071.11",756.48K,0.12%
2023-11-02,"1,075.47","1,039.66","1,075.47","1,039.66",772.12K,3.44%
2023-11-01,"1,039.66","1,028.19","1,039.66","1,020.01",679.89K,1.12%
2023-10-31,"1,028.19","1,042.40","1,046.17","1,025.03",755.54K,-1.36%
2023-10-30,"1,042.40","1,054.03","1,060.39","1,042.40",533.36K,-1.72%
2023-10-27,"1,060.62","1,055.45","1,061.87","1,037.46",692.23K,0.49%
2023-10-26,"1,055.45","1,101.66","1,101.66","1,049.71",1.18M,-4.19%
2023-10-25,"1,101.66","1,105.90","1,111.39","1,100.64",539.26K,-0.38%
2023-10-24,"1,105.90","1,093.53","1,107.30","1,088.17",509.04K,1.13%
2023-10-23,"1,093.53","1,108.03","1,108.03","1,086.54",563.10K,-1.31%
2023-10-20,"1,108.03","1,087.85","1,108.16","1,073.73",658.19K,1.86%
2023-10-19,"1,087.85","1,103.40","1,104.03","1,087.85",649.23K,-1.41%
2023-10-18,"1,103.40","1,121.65","1,125.27","1,088.87",1.04M,-1.63%
2023-10-17,"1,121.65","1,145.34","1,147.89","1,121.65",610.50K,-1.73%
2023-10-16,"1,141.42","1,154.73","1,157.46","1,140.64",676.19K,-1.15%
2023-10-13,"1,154.73","1,151.61","1,155.10","1,138.99",621.42K,0.27%
2023-10-12,"1,151.61","1,150.81","1,156.73","1,148.11",647.18K,0.07%
2023-10-11,"1,150.81","1,143.69","1,150.81","1,138.22",543.05K,0.62%
2023-10-10,"1,143.69","1,137.36","1,150.34","1,137.36",671.76K,0.56%
2023-10-09,"1,137.36","1,128.54","1,137.36","1,127.03",602.62K,0.78%
2023-10-06,"1,128.54","1,113.89","1,129.13","1,107.40",621.62K,1.32%
2023-10-05,"1,113.89","1,128.67","1,133.12","1,113.89",609.01K,-1.31%
2023-10-04,"1,128.67","1,118.10","1,133.79","1,106.40",682.49K,0.95%
2023-10-03,"1,118.10","1,155.25","1,155.25","1,117.28",991.88K,-3.22%
2023-10-02,"1,155.25","1,154.15","1,161.48","1,149.63",518.24K,0.10%
2023-09-29,"1,154.15","1,152.43","1,163.88","1,152.43",574.81K,0.15%
2023-09-28,"1,152.43","1,153.85","1,155.39","1,136.99",691.11K,-0.12%
2023-09-27,"1,153.85","1,137.96","1,153.85","1,126.36",860.42K,1.40%
2023-09-26,"1,137.96","1,153.20","1,163.52","1,137.96",1.05M,-1.32%
2023-09-25,"1,153.20","1,193.05","1,195.62","1,153.20",1.09M,-3.34%
2023-09-22,"1,193.05","1,212.74","1,212.74","1,174.57",1.39M,-1.62%
2023-09-21,"1,212.74","1,226.11","1,227.88","1,211.65",963.68K,-1.09%
2023-09-20,"1,226.11","1,211.50","1,226.11","1,209.46",878.03K,1.21%
2023-09-19,"1,211.50","1,211.81","1,219.57","1,199.85",1.00M,-0.03%
2023-09-18,"1,211.81","1,227.36","1,227.36","1,203.88",845.00K,-1.27%
2023-09-15,"1,227.36","1,223.81","1,233.87","1,220.27",917.36K,0.29%
2023-09-14,"1,223.81","1,238.39","1,244.21","1,223.03",1.23M,-1.18%
2023-09-13,"1,238.39","1,245.44","1,250.61","1,232.84",1.26M,-0.57%
2023-09-12,"1,245.44","1,223.63","1,245.44","1,220.85",967.87K,1.78%
2023-09-11,"1,223.63","1,241.48","1,251.37","1,223.33",1.39M,-1.44%
2023-09-08,"1,241.48","1,243.14","1,248.10","1,240.15",1.10M,-0.13%
2023-09-07,"1,243.14","1,245.50","1,255.11","1,240.82",1.13M,-0.19%
2023-09-06,"1,245.50","1,234.98","1,245.50","1,229.89",1.13M,0.85%
2023-09-05,"1,234.98","1,224.05","1,236.21","1,224.05",1.09M,0.89%
2023-08-31,"1,224.05","1,213.16","1,224.84","1,213.16",945.48K,0.90%
2023-08-30,"1,213.16","1,206.10","1,213.52","1,203.51",911.99K,0.72%
2023-08-29,"1,204.43","1,201.72","1,208.78","1,197.57",990.94K,0.23%
2023-08-28,"1,201.72","1,183.37","1,202.02","1,183.37",882.85K,1.55%
2023-08-25,"1,183.37","1,189.39","1,192.59","1,181.60",893.34K,-0.51%
2023-08-24,"1,189.39","1,172.56","1,189.99","1,171.33",851.54K,1.44%
2023-08-23,"1,172.56","1,180.49","1,193.79","1,168.89",747.18K,-0.67%
2023-08-22,"1,180.49","1,179.76","1,184.43","1,149.13",1.06M,0.06%
2023-08-21,"1,179.76","1,177.99","1,188.16","1,164.63",1.08M,0.15%
2023-08-18,"1,177.99","1,233.48","1,233.48","1,177.74",1.70M,-4.50%
2023-08-17,"1,233.48","1,242.58","1,243.98","1,233.48",1.11M,-0.79%
2023-08-16,"1,243.26","1,234.05","1,243.48","1,234.05",930.67K,0.75%
2023-08-15,"1,234.05","1,236.84","1,239.42","1,230.58",912.03K,-0.23%
2023-08-14,"1,236.84","1,232.21","1,239.61","1,229.04",1.11M,0.38%
2023-08-11,"1,232.21","1,220.61","1,232.21","1,213.37",1.01M,0.95%
2023-08-10,"1,220.61","1,233.99","1,238.19","1,220.61",1.01M,-1.08%
2023-08-09,"1,233.99","1,242.23","1,242.23","1,231.28",1.09M,-0.66%
2023-08-08,"1,242.23","1,241.42","1,246.22","1,239.01",1.19M,0.07%
2023-08-07,"1,241.42","1,233.10","1,241.42","1,230.38",1.30M,1.26%
2023-08-04,"1,225.98","1,210.95","1,228.12","1,210.95",1.13M,1.24%
2023-08-03,"1,210.95","1,219.73","1,222.35","1,209.06",1.03M,-0.78%
2023-08-02,"1,220.43","1,217.56","1,223.04","1,213.18",940.81K,0.24%
2023-08-01,"1,217.56","1,222.90","1,234.50","1,217.56",1.28M,-0.44%
2023-07-31,"1,222.90","1,207.67","1,224.81","1,207.67",1.20M,1.26%
2023-07-28,"1,207.67","1,197.33","1,207.67","1,195.86",1.11M,0.86%
2023-07-27,"1,197.33","1,200.84","1,203.69","1,191.08",1.16M,-0.29%
2023-07-26,"1,200.84","1,195.90","1,200.84","1,195.44",912.30K,0.41%
2023-07-25,"1,195.90","1,190.72","1,199.27","1,190.72",1.00M,0.44%
2023-07-24,"1,190.72","1,185.90","1,193.22","1,183.39",1.04M,0.41%
2023-07-21,"1,185.90","1,172.81","1,185.90","1,172.07",988.09K,1.12%
2023-07-20,"1,172.81","1,172.98","1,174.39","1,166.62",796.61K,-0.01%
2023-07-19,"1,172.98","1,174.09","1,178.55","1,172.98",896.65K,-0.09%
